Locus	Allele	Group.0	Group.1
DPB1	HLA-DPB1w0-0-0-160-0-0-0-0-0-0-0	2	1
DPB1	HLA-DPB1w0-0-0-203-0-0-0-0-0-0-0	1	1
DPB1	HLA-DPB1w0-0-0-26-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-295-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-3-0-0-0-0-0-0-0	2	11
DPB1	HLA-DPB1w0-0-0-590-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-597-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-0-73-0-0-0-0-0-0-0	2	12
DPB1	HLA-DPB1w0-0-0-78-0-0-0-0-0-0-0	2	7
DPB1	HLA-DPB1w0-0-0-8011-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-82-0-0-0-0-0-0-0	0	2
DPB1	HLA-DPB1w0-0-0-90-0-0-0-0-0-0-0	1	3
DPB1	HLA-DPB1w0-0-0-91-0-0-0-0-0-0-0	1	5
DPB1	HLA-DPB1w0-0-0-94-0-0-0-0-0-0-0	2	5
