Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
B	HLA-Bw0-1-0-0-0-0-0-3-0-3-0-1-0-0-0	1.91	1.29	2.84	0.0006119	*
B	HLA-Bw0-1-0-0-0-0-0-6-0-5-0-1-0-0-0	0.72	0.43	1.18	0.17488	NS
B	HLA-Bw0-10-0-0-0-0-0-3-0-3-0-1-0-0-0	3.67	1.26	12.01	0.0058817	*
B	HLA-Bw0-10-0-0-0-0-0-7-0-6-0-1-0-0-0	1.36	0.69	2.66	0.33091	NS
B	HLA-Bw0-11-0-0-0-0-0-3-0-6-0-1-0-0-0	1.08	0.41	2.66	0.86128	NS
B	HLA-Bw0-12-0-0-0-0-0-20-0-10-0-1-0-0-0	1.05	0.49	2.14	0.89243	NS
B	HLA-Bw0-3-0-0-0-0-0-17-0-3-0-1-0-0-0	0.55	0.34	0.86	0.0069036	*
B	HLA-Bw0-3-0-0-0-0-0-3-0-4-0-1-0-0-0	0.78	0.34	1.67	0.50344	NS
B	HLA-Bw0-4-0-0-0-0-0-7-0-6-0-1-0-0-0	1.41	0.87	2.28	0.1342	NS
B	HLA-Bw0-6-0-0-0-0-0-3-0-3-0-1-0-0-0	0.92	0.48	1.69	0.77346	NS
B	HLA-Bw0-6-0-0-0-0-0-7-0-6-0-1-0-0-0	1.08	0.68	1.68	0.73303	NS
B	HLA-Bw0-8-0-0-0-0-0-13-0-6-0-1-0-0-0	0.96	0.68	1.35	0.81579	NS
B	HLA-Bw0-9-0-0-0-0-0-1-0-1-0-1-0-0-0	0.27	0.1	0.6	0.00056529	*
B	binned	1.08	0.32	3.3	0.88698	NS
DRB1	HLA-DRB1w0-1-0-0-0-12-0-1-0-1-0-1-0	0.68	0.45	1.02	0.054568	NS
DRB1	HLA-DRB1w0-1-0-0-0-47-0-2-0-1-0-1-0	1.08	0.47	2.35	0.83947	NS
DRB1	HLA-DRB1w0-3-0-0-0-15-0-2-0-2-0-1-0	2.3	1.6	3.3	1.7357e-06	*
DRB1	HLA-DRB1w0-3-0-0-0-2-0-2-0-2-0-1-0	1.25	0.94	1.66	0.11543	NS
DRB1	HLA-DRB1w0-3-0-0-0-2-0-5-0-1-0-1-0	0.69	0.28	1.58	0.35714	NS
DRB1	HLA-DRB1w0-3-0-0-0-3-0-2-0-2-0-1-0	1	0.26	3.34	0.99403	NS
DRB1	HLA-DRB1w0-3-0-0-0-46-0-2-0-2-0-1-0	0.95	0.37	2.27	0.89767	NS
DRB1	HLA-DRB1w0-5-0-0-0-20-0-1-0-1-0-1-0	0.68	0.47	0.97	0.029082	*
DRB1	HLA-DRB1w0-6-0-0-0-4-0-4-0-1-0-1-0	0.58	0.38	0.88	0.007446	*
DRB1	binned	1.29	0.61	2.67	0.45573	NS
DQB1	HLA-DQB1w0-1-0-0-0-1-0-1-0-1-0-1-0	2.26	1.57	3.25	2.9026e-06	*
DQB1	HLA-DQB1w0-1-0-0-0-3-0-1-0-1-0-1-0	0.63	0.39	1.01	0.046437	*
DQB1	HLA-DQB1w0-2-0-0-0-12-0-2-0-1-0-1-0	0.87	0.63	1.18	0.35459	NS
DQB1	HLA-DQB1w0-3-0-0-0-22-0-3-0-1-0-1-0	0.69	0.49	0.98	0.033718	*
DQB1	HLA-DQB1w0-5-0-0-0-73-0-6-0-1-0-2-0	0.74	0.51	1.07	0.095256	NS
DQB1	HLA-DQB1w0-5-0-0-0-76-0-6-0-1-0-2-0	1.14	0.5	2.5	0.73244	NS
DQB1	HLA-DQB1w0-9-0-0-0-116-0-8-0-1-0-2-0	1.53	0.93	2.53	0.074221	NS
DQB1	HLA-DQB1w0-9-0-0-0-121-0-8-0-1-0-2-0	1.6	0.91	2.83	0.079166	NS
DQB1	binned	0.55	0.13	1.79	0.287	NS
DPB1	HLA-DPB1w0-1-0-0-0-2-0-1-0-1-0	1.54	0.85	2.75	0.12034	NS
DPB1	HLA-DPB1w0-1-0-0-0-2-0-2-0-1-0	0.99	0.72	1.37	0.97165	NS
DPB1	HLA-DPB1w0-1-0-0-0-2-0-3-0-1-0	0.85	0.36	1.92	0.68582	NS
DPB1	HLA-DPB1w0-1-0-0-0-3-0-2-0-1-0	0.95	0.73	1.23	0.67783	NS
DPB1	HLA-DPB1w0-1-0-0-0-6-0-2-0-1-0	0.9	0.6	1.32	0.56894	NS
DPB1	HLA-DPB1w0-1-0-0-0-8-0-5-0-1-0	3.03	0.59	19.6	0.11204	NS
